Primary_Accession,Domain,Color,Darkness,Disorder,Compositional_Bias,Transmembrane,Length,Evolutionary_Re-use,Interactions,Coding_Potential
Q86TZ1,Eukaryota,Non-dark,2%,0%,0%,0%,520,354,0,4.53
Q9ULT0,Eukaryota,Non-dark,19%,6%,0%,0%,858,3336,0,8.99
Q86TV6,Eukaryota,Non-dark,14%,7%,1%,0%,843,3475,0,11.95
Q8TAM2,Eukaryota,Non-dark,3%,13%,0%,0%,541,4299,92,8.99
Q92623,Eukaryota,Non-dark,20%,37%,0%,0%,222,1024,0,3.79
Q8N6N2,Eukaryota,Non-dark,27%,37%,14%,0%,239,1030,0,4.39
Q8N5M4,Eukaryota,Non-dark,4%,28%,0%,0%,171,2052,0,2.66
Q15361,Eukaryota,Non-dark,76%,52%,4%,0%,905,212,6,10.48
Q9UNY4,Eukaryota,Non-dark,52%,36%,0%,0%,1162,3990,92,10.14
P02766,Eukaryota,Non-dark,0%,5%,0%,0%,147,100,52,3.82
O43156,Eukaryota,Non-dark,21%,6%,0%,0%,1089,103,54,14.93
Q6NXR4,Eukaryota,Dark,100%,8%,0%,0%,508,31,12,10.62
P33981,Eukaryota,Non-dark,33%,21%,0%,0%,857,9985,110,8.72
Q6ZVT0,Eukaryota,Non-dark,52%,42%,6%,0%,673,814,0,6.6
Q8NHH1,Eukaryota,Non-dark,51%,29%,0%,0%,538,762,0,5.71
Q14166,Eukaryota,Non-dark,55%,9%,0%,0%,644,776,0,11.63
A6NNM8,Eukaryota,Non-dark,67%,20%,0%,0%,815,816,0,5.84
O95922,Eukaryota,Non-dark,26%,6%,0%,0%,423,850,0,3.82
Q9BWV7,Eukaryota,Non-dark,53%,30%,0%,0%,592,822,0,5.22
Q9Y4R7,Eukaryota,Non-dark,75%,14%,0%,0%,772,779,0,4.74
Q14679,Eukaryota,Non-dark,79%,26%,0%,0%,1199,819,0,10
Q6EMB2,Eukaryota,Non-dark,78%,39%,2%,0%,1281,830,2,8.17
Q8N841,Eukaryota,Non-dark,68%,28%,0%,0%,843,824,0,7.75
Q6ZT98,Eukaryota,Non-dark,69%,28%,0%,0%,887,825,0,6.62
A6PVC2,Eukaryota,Non-dark,78%,23%,0%,0%,850,787,0,8.51
Q3SXZ7,Eukaryota,Non-dark,32%,4%,0%,0%,439,834,0,4.62
Q8NG68,Eukaryota,Non-dark,6%,3%,0%,0%,377,830,2,3.85
Q5BVD1,Eukaryota,Non-dark,57%,14%,0%,10%,217,12,0,4.33
Q9BTX7,Eukaryota,Non-dark,21%,10%,0%,0%,342,850,0,3.7
P49638,Eukaryota,Non-dark,0%,6%,0%,0%,278,866,4,2.68
P26651,Eukaryota,Non-dark,71%,59%,0%,0%,326,299,54,3.78
Q9BZA0,Eukaryota,Dark,100%,63%,0%,0%,68,1,0,2.42
Q9BZ98,Eukaryota,Dark,100%,0%,0%,0%,90,1,0,2.86
Q9BZ97,Eukaryota,Dark,100%,16%,0%,36%,58,2,0,0.42
Q9H313,Eukaryota,Dark,100%,3%,2%,23%,450,73,0,7.03
Q9BSA4,Eukaryota,Dark,100%,7%,2%,20%,534,73,2,6.87
Q9C0H2,Eukaryota,Dark,100%,14%,0%,20%,523,73,2,10.02
P50607,Eukaryota,Non-dark,46%,59%,3%,0%,506,225,6,8.93
Q9NNX1,Eukaryota,Dark,100%,41%,0%,0%,390,34,6,3.87
P01858,Eukaryota,Dark,100%,100%,0%,0%,4,0,0,NA
O00294,Eukaryota,Non-dark,53%,61%,4%,0%,542,218,0,8.43
O00295,Eukaryota,Non-dark,57%,39%,0%,0%,520,228,0,6.47
O75386,Eukaryota,Non-dark,40%,39%,0%,0%,442,226,2,5.12
Q9NRJ4,Eukaryota,Non-dark,63%,43%,0%,0%,1543,3880,0,12.38
Q2TAM9,Eukaryota,Dark,100%,92%,23%,0%,212,8,0,3.31
O75896,Eukaryota,Dark,100%,9%,0%,0%,110,20,2,1.66
Q13454,Eukaryota,Non-dark,56%,3%,0%,24%,348,76,86,7.14
Q8IXB3,Eukaryota,Dark,100%,26%,0%,24%,177,106,8,3.54
Q5TAX3,Eukaryota,Non-dark,62%,39%,12%,0%,1644,761,18,13.28
Q5VYS8,Eukaryota,Non-dark,56%,38%,9%,0%,1495,767,0,12.42
Q9P2J2,Eukaryota,Non-dark,42%,32%,14%,2%,1179,3017,0,13.54
Q9UPX0,Eukaryota,Non-dark,49%,42%,31%,2%,1349,2896,0,11.05
A6NH52,Eukaryota,Dark,100%,0%,0%,39%,213,113,0,3.19
Q9NYZ1,Eukaryota,Dark,100%,4%,0%,40%,205,113,0,2.88
Q96ET8,Eukaryota,Dark,100%,12%,0%,15%,276,289,0,2.64
P04436,Eukaryota,Non-dark,16%,0%,0%,0%,131,391,90,NA
P04437,Eukaryota,Non-dark,20%,9%,0%,0%,139,377,102,4.78
P01737,Eukaryota,Non-dark,17%,0%,0%,0%,135,374,0,2.1
P01733,Eukaryota,Non-dark,6%,4%,0%,0%,135,389,0,0.29
P04435,Eukaryota,Non-dark,7%,11%,0%,0%,133,396,0,5.57
P03979,Eukaryota,Non-dark,16%,5%,0%,0%,136,391,12,1.73
Q12792,Eukaryota,Non-dark,17%,9%,0%,0%,350,182,2,7.61
Q6IBS0,Eukaryota,Non-dark,16%,9%,0%,0%,349,181,4,8.58
Q9GZX9,Eukaryota,Dark,100%,3%,23%,0%,223,22,12,3.3
Q15672,Eukaryota,Non-dark,59%,62%,9%,0%,202,752,36,3.21
Q8WVJ9,Eukaryota,Non-dark,58%,44%,0%,0%,160,730,4,3.69
Q9BY14,Eukaryota,Non-dark,37%,0%,0%,0%,249,27,0,2.65
Q9BXU3,Eukaryota,Non-dark,92%,49%,0%,0%,409,18,2,7.61
Q9BXU2,Eukaryota,Dark,100%,16%,0%,0%,312,17,0,6.87
O14907,Eukaryota,Non-dark,0%,20%,0%,0%,124,192,4,2.75
Q6UWH6,Eukaryota,Dark,100%,0%,0%,54%,196,44,0,2.91
Q9Y6I9,Eukaryota,Non-dark,53%,32%,0%,0%,313,72,0,6.32
Q6PKC3,Eukaryota,Non-dark,35%,14%,0%,2%,985,1077,0,11.95
O95881,Eukaryota,Non-dark,13%,10%,0%,0%,172,960,110,2.51
Q96J42,Eukaryota,Non-dark,64%,27%,0%,6%,360,1090,0,2.65
Q9P2K2,Eukaryota,Non-dark,7%,6%,0%,0%,825,962,0,13.8
Q9BRA2,Eukaryota,Non-dark,0%,0%,0%,0%,123,384,2,1.59
Q2TAA8,Eukaryota,Dark,100%,14%,0%,0%,658,50,2,16.21
P42681,Eukaryota,Non-dark,16%,7%,1%,0%,527,9978,76,6.92
P40222,Eukaryota,Non-dark,50%,73%,0%,0%,546,204,36,11.54
Q8N3L3,Eukaryota,Dark,100%,66%,0%,0%,684,109,26,11.43
Q9NUQ3,Eukaryota,Dark,100%,42%,0%,0%,528,111,38,8.56
P83876,Eukaryota,Non-dark,0%,0%,0%,0%,142,NA,110,3.89
Q9NX01,Eukaryota,Non-dark,0%,0%,0%,0%,149,1033,0,1.68
Q86VQ3,Eukaryota,Non-dark,75%,77%,0%,0%,553,1060,0,8.45
Q8N427,Eukaryota,Non-dark,24%,8%,0%,0%,588,1090,0,7.33
Q8NBS9,Eukaryota,Non-dark,11%,15%,0%,0%,432,1467,110,0.81
Q86XW9,Eukaryota,Non-dark,25%,29%,0%,0%,330,1205,0,4.26
Q6A555,Eukaryota,Non-dark,2%,0%,0%,0%,127,1667,0,1.49
O14530,Eukaryota,Non-dark,27%,2%,0%,0%,226,1213,4,4.07
Q9BZA5,Eukaryota,Dark,100%,30%,0%,0%,131,25,90,2.58
Q9H3M7,Eukaryota,Non-dark,19%,7%,0%,0%,391,294,28,6.74
O43396,Eukaryota,Non-dark,4%,16%,0%,0%,289,1394,46,3.79
P53007,Eukaryota,Non-dark,9%,1%,0%,36%,311,1962,6,4.66
P07101,Eukaryota,Non-dark,4%,20%,1%,0%,528,161,42,10.1
P63313,Eukaryota,Non-dark,9%,100%,0%,0%,44,NA,10,0.48
O14604,Eukaryota,Non-dark,9%,100%,0%,0%,44,37,90,0.15
P62328,Eukaryota,Non-dark,2%,100%,0%,0%,44,NA,14,0.46
Q9NUW8,Eukaryota,Non-dark,24%,25%,0%,0%,608,174,36,7.62
O95551,Eukaryota,Non-dark,13%,16%,0%,0%,362,796,50,6.34
P29597,Eukaryota,Non-dark,3%,10%,0%,0%,1187,9219,90,14.62
Q8TAI1,Eukaryota,Dark,100%,58%,0%,0%,123,1,2,1.85
O43914,Eukaryota,Non-dark,42%,12%,0%,19%,113,27,22,2.1
P19971,Eukaryota,Non-dark,0%,17%,0%,0%,482,192,72,8.44
Q06418,Eukaryota,Non-dark,22%,11%,0%,2%,890,9968,36,10.45
P14679,Eukaryota,Non-dark,38%,5%,0%,4%,529,489,68,8.35
P17643,Eukaryota,Non-dark,48%,9%,0%,4%,537,456,32,7.18
P40126,Eukaryota,Non-dark,47%,1%,0%,4%,519,488,24,6.67
Q2T9J0,Eukaryota,Non-dark,57%,11%,0%,0%,566,1026,22,4.98
P04818,Eukaryota,Non-dark,0%,10%,0%,0%,313,233,82,6.28
Q6NUM6,Eukaryota,Dark,100%,18%,0%,0%,668,NA,10,11.45
Q9NV66,Eukaryota,Non-dark,33%,15%,0%,0%,732,465,10,8.89
Q53H54,Eukaryota,Non-dark,21%,13%,0%,0%,448,298,6,4.35
Q6IPR3,Eukaryota,Non-dark,30%,18%,0%,0%,259,79,14,3.54
O60294,Eukaryota,Non-dark,5%,3%,0%,0%,686,1432,28,6.16
A2RUC4,Eukaryota,Non-dark,0%,0%,0%,0%,315,679,12,3.1
P25490,Eukaryota,Non-dark,56%,72%,12%,0%,414,5302,54,4
O15391,Eukaryota,Non-dark,47%,58%,0%,0%,372,5306,4,2.64
Q13432,Eukaryota,Non-dark,0%,30%,0%,0%,240,50,48,5.1
A6NIH7,Eukaryota,Non-dark,31%,23%,3%,0%,251,51,0,5.26
Q7RTZ2,Eukaryota,Non-dark,39%,26%,0%,0%,530,2353,0,4.95
Q6R6M4,Eukaryota,Non-dark,39%,27%,0%,0%,530,2358,10,4.55
A6NCW0,Eukaryota,Non-dark,40%,27%,0%,0%,530,2355,0,4.95
A6NCW7,Eukaryota,Non-dark,39%,28%,0%,0%,530,2357,0,5.05
A8MUK1,Eukaryota,Non-dark,39%,27%,0%,0%,530,2359,8,4.7
Q6QN14,Eukaryota,Non-dark,20%,9%,0%,0%,398,2384,0,4.3
P0C7H9,Eukaryota,Non-dark,39%,26%,0%,0%,530,2362,10,6.24
P0C7I0,Eukaryota,Non-dark,39%,28%,0%,0%,530,2358,0,5.22
C9JJH3,Eukaryota,Non-dark,39%,27%,0%,0%,530,2358,0,4.82
C9JVI0,Eukaryota,Non-dark,39%,26%,0%,0%,530,2359,8,4.76
C9JLJ4,Eukaryota,Non-dark,40%,25%,0%,0%,530,2358,0,4.85
C9J2P7,Eukaryota,Non-dark,39%,26%,0%,0%,530,2361,0,4.43
D6RBQ6,Eukaryota,Non-dark,40%,26%,0%,0%,530,2356,0,4.78
D6R9N7,Eukaryota,Non-dark,39%,26%,0%,0%,530,2360,0,4.77
D6RCP7,Eukaryota,Non-dark,39%,26%,0%,0%,530,2360,0,4.74
D6RJB6,Eukaryota,Non-dark,39%,26%,0%,0%,530,2360,0,4.78
D6R901,Eukaryota,Non-dark,39%,26%,0%,0%,530,2357,0,4.83
D6RA61,Eukaryota,Non-dark,39%,26%,0%,0%,530,2362,0,4.83
D6RBM5,Eukaryota,Non-dark,37%,14%,0%,0%,183,980,0,2.54
Q0WX57,Eukaryota,Non-dark,40%,26%,0%,0%,530,2358,8,4.74
Q16560,Eukaryota,Non-dark,61%,18%,37%,0%,246,3138,0,2.17
Q01081,Eukaryota,Non-dark,41%,23%,26%,0%,240,281,80,3.67
P26368,Eukaryota,Non-dark,26%,32%,8%,0%,475,3577,68,8.96
Q8WU68,Eukaryota,Non-dark,36%,14%,0%,0%,220,190,2,3.6
Q15695,Eukaryota,Non-dark,70%,52%,0%,0%,479,200,0,5.63
Q15696,Eukaryota,Non-dark,70%,56%,14%,0%,482,209,2,5.39
Q8IWF7,Eukaryota,Non-dark,0%,0%,0%,0%,75,828,0,NA
H0YL09,Eukaryota,Dark,100%,18%,0%,0%,131,19,0,NA
A1L167,Eukaryota,Non-dark,6%,0%,0%,0%,161,939,2,3.42
O43818,Eukaryota,Non-dark,25%,22%,12%,0%,475,5886,106,4.54
O75643,Eukaryota,Non-dark,18%,6%,0%,0%,2136,4825,98,22.87
Q15029,Eukaryota,Non-dark,13%,10%,0%,0%,972,1570,98,15.58
A6NN06,Eukaryota,Dark,100%,91%,0%,0%,94,1,0,NA
Q5VV11,Eukaryota,Dark,100%,87%,0%,0%,94,1,0,NA
Q5XG85,Eukaryota,Dark,100%,76%,0%,0%,94,1,0,1.5
Q86TS7,Eukaryota,Dark,100%,0%,0%,0%,51,3,0,1.18
Q9BZF9,Eukaryota,Non-dark,84%,23%,1%,0%,1416,5411,2,11.8
Q3KQV9,Eukaryota,Non-dark,3%,18%,0%,0%,507,226,4,7.57
Q16222,Eukaryota,Non-dark,0%,9%,0%,0%,522,225,6,8.22
P51668,Eukaryota,Non-dark,0%,3%,0%,0%,147,NA,54,2.32
P62837,Eukaryota,Non-dark,0%,2%,0%,0%,147,NA,44,2.74
P61077,Eukaryota,Non-dark,0%,1%,0%,0%,147,1337,56,2.4
Q9Y2X8,Eukaryota,Non-dark,0%,4%,0%,0%,147,1334,18,2.61
P51965,Eukaryota,Non-dark,0%,25%,5%,0%,193,1291,92,2.44
Q96LR5,Eukaryota,Non-dark,20%,34%,0%,0%,201,1282,32,2.73
Q969T4,Eukaryota,Non-dark,22%,40%,0%,0%,207,NA,22,2.73
P62253,Eukaryota,Non-dark,4%,8%,0%,0%,170,1310,28,1.99
P60604,Eukaryota,Non-dark,0%,6%,0%,0%,165,NA,52,2.15
Q9Y385,Eukaryota,Non-dark,53%,30%,0%,7%,318,985,72,3.5
Q8N2K1,Eukaryota,Non-dark,29%,12%,0%,8%,259,1075,4,3.89
P68036,Eukaryota,Non-dark,0%,7%,0%,0%,154,NA,42,1.83
O14933,Eukaryota,Non-dark,1%,1%,0%,0%,153,1280,70,1.94
Q7Z7E8,Eukaryota,Non-dark,58%,32%,7%,0%,422,894,0,8.7
Q8WVN8,Eukaryota,Non-dark,53%,20%,12%,0%,375,896,0,7.24
P49427,Eukaryota,Non-dark,24%,19%,16%,0%,236,1235,64,3.78
Q712K3,Eukaryota,Non-dark,29%,25%,16%,0%,238,1245,4,3.24
Q13404,Eukaryota,Non-dark,5%,12%,0%,0%,147,NA,104,1.78
Q15819,Eukaryota,Non-dark,0%,19%,0%,0%,145,NA,64,2.14
F5GYI3,Eukaryota,Non-dark,68%,53%,19%,0%,381,27,0,5.67
P22314,Eukaryota,Non-dark,5%,8%,0%,0%,1058,951,34,16.91
Q8TBC4,Eukaryota,Non-dark,0%,4%,0%,0%,463,843,42,4.4
Q9GZZ9,Eukaryota,Non-dark,29%,15%,0%,0%,404,821,18,8.93
A0AVT1,Eukaryota,Non-dark,3%,4%,0%,0%,1052,941,8,8.92
P41226,Eukaryota,Non-dark,1%,5%,0%,0%,1012,945,54,15.54
Q9BSL1,Eukaryota,Non-dark,16%,40%,0%,0%,405,121,2,11.97
Q8NBM4,Eukaryota,Non-dark,40%,6%,0%,18%,344,85,2,6.08
Q8TB05,Eukaryota,Non-dark,67%,67%,37%,0%,177,39,0,2.3
Q8IYN6,Eukaryota,Non-dark,64%,62%,0%,0%,164,39,0,2.46
Q9NZ09,Eukaryota,Non-dark,75%,30%,0%,0%,502,32,12,9.16
Q5T6F2,Eukaryota,Non-dark,92%,76%,0%,0%,1119,87,2,14.34
P0CG47,Eukaryota,Non-dark,0%,14%,0%,0%,229,NA,58,5.13
P61081,Eukaryota,Non-dark,0%,8%,0%,0%,183,NA,52,2.88
P63279,Eukaryota,Non-dark,0%,1%,0%,0%,158,NA,68,1.38
Q8WVY7,Eukaryota,Non-dark,5%,5%,0%,0%,318,NA,4,6.13
P0CG48,Eukaryota,Non-dark,23%,14%,0%,0%,685,462,50,8.64
O15205,Eukaryota,Non-dark,2%,1%,0%,0%,165,520,56,3.57
P49459,Eukaryota,Non-dark,1%,26%,0%,0%,152,1322,62,1.44
P63146,Eukaryota,Non-dark,0%,23%,0%,0%,152,NA,72,2.08
O00762,Eukaryota,Non-dark,0%,20%,0%,0%,179,1276,108,2.34
Q969M7,Eukaryota,Non-dark,0%,6%,0%,0%,185,1179,6,1.86
P62256,Eukaryota,Non-dark,11%,22%,0%,0%,183,1148,34,2.49
P61086,Eukaryota,Non-dark,0%,7%,0%,0%,200,NA,64,1.62
P61088,Eukaryota,Non-dark,0%,6%,0%,0%,152,NA,72,2.23
Q9C0C9,Eukaryota,Non-dark,83%,41%,3%,0%,1292,1044,2,15.26
Q16763,Eukaryota,Non-dark,30%,36%,0%,0%,222,1249,106,3.28
Q9NPD8,Eukaryota,Non-dark,0%,32%,0%,0%,197,1274,100,2.71
Q5VVX9,Eukaryota,Non-dark,45%,11%,0%,0%,321,1139,0,1.59
Q96B02,Eukaryota,Non-dark,7%,7%,0%,0%,151,NA,12,0.9
Q9H832,Eukaryota,Non-dark,42%,23%,0%,0%,354,1148,2,2.63
Q05086,Eukaryota,Non-dark,48%,10%,1%,0%,875,1070,38,8.76
Q7Z3V4,Eukaryota,Non-dark,64%,0%,0%,0%,1068,1044,6,7.55
Q15386,Eukaryota,Non-dark,65%,4%,0%,0%,1083,1048,18,9.02
Q7Z6J8,Eukaryota,Dark,100%,2%,0%,0%,389,102,2,8.59
Q14139,Eukaryota,Non-dark,17%,5%,0%,0%,1066,188,4,12.22
O95155,Eukaryota,Non-dark,34%,26%,0%,0%,1302,201,20,12.14
P17480,Eukaryota,Non-dark,30%,52%,12%,0%,764,285,52,15.77
O14562,Eukaryota,Non-dark,53%,53%,0%,0%,309,75,0,8.01
P0CB47,Eukaryota,Non-dark,35%,48%,0%,0%,393,281,2,7.55
P0CB48,Eukaryota,Non-dark,29%,42%,1%,0%,400,268,0,NA
Q9Y5Z9,Eukaryota,Non-dark,23%,4%,0%,50%,338,207,28,4.69
A6NDN8,Eukaryota,Non-dark,14%,0%,0%,0%,102,26,110,1.22
P35544,Eukaryota,Non-dark,0%,0%,0%,0%,74,554,110,2.7
Q9NZI7,Eukaryota,Non-dark,89%,31%,0%,0%,540,160,4,10.43
O95164,Eukaryota,Non-dark,1%,15%,0%,0%,117,59,2,2.59
P11441,Eukaryota,Non-dark,50%,5%,0%,0%,157,571,42,3.32
Q8N7F7,Eukaryota,Non-dark,16%,28%,0%,0%,174,501,4,3.14
Q9BZL1,Eukaryota,Non-dark,0%,0%,0%,0%,73,NA,34,1.47
Q96S82,Eukaryota,Non-dark,61%,45%,0%,0%,380,389,14,9.4
Q9NPG3,Eukaryota,Dark,100%,62%,23%,0%,1134,76,14,17.16
Q6ZU65,Eukaryota,Dark,100%,66%,39%,0%,1347,84,0,12.95
Q14694,Eukaryota,Non-dark,57%,36%,0%,0%,798,2194,26,9.62
P51784,Eukaryota,Non-dark,39%,15%,0%,0%,963,2224,42,12.51
O75317,Eukaryota,Non-dark,16%,6%,0%,0%,370,2445,50,2.84
Q92995,Eukaryota,Non-dark,14%,8%,0%,0%,863,2022,52,11.13
P54578,Eukaryota,Non-dark,0%,9%,0%,0%,494,2373,110,7.66
Q9Y4E8,Eukaryota,Non-dark,41%,15%,0%,0%,981,2182,92,8.75
Q9Y5T5,Eukaryota,Non-dark,41%,32%,0%,0%,823,2333,40,7.53
Q9UMW8,Eukaryota,Non-dark,11%,6%,0%,0%,372,2447,90,4.39
O94966,Eukaryota,Non-dark,58%,32%,0%,2%,1318,1977,20,13.88
O94782,Eukaryota,Non-dark,48%,38%,0%,0%,785,1998,70,8.32
Q9Y2K6,Eukaryota,Non-dark,42%,26%,0%,0%,914,2340,32,7.66
Q9UK80,Eukaryota,Non-dark,35%,35%,0%,0%,565,2336,40,4.32
Q9UPT9,Eukaryota,Non-dark,10%,4%,0%,0%,525,2450,110,4.76
Q9UPU5,Eukaryota,Non-dark,88%,11%,4%,0%,2620,2248,14,19.46
Q9UHP3,Eukaryota,Non-dark,49%,16%,0%,0%,1055,2028,38,12.06
Q9BXU7,Eukaryota,Non-dark,46%,22%,0%,0%,913,1870,0,12.25
A6NNY8,Eukaryota,Non-dark,23%,7%,0%,0%,438,2430,0,3.75
Q96RU2,Eukaryota,Non-dark,50%,18%,0%,0%,1077,2028,30,11.36
Q9HBJ7,Eukaryota,Non-dark,41%,31%,0%,0%,922,1917,8,14.66
Q14157,Eukaryota,Non-dark,91%,87%,0%,0%,1087,85,16,13.32
O75604,Eukaryota,Non-dark,41%,21%,0%,0%,605,2383,16,4.96
Q70CQ3,Eukaryota,Non-dark,27%,16%,0%,4%,517,2360,2,6.55
Q70CQ4,Eukaryota,Non-dark,72%,50%,36%,0%,1352,2164,0,8.15
Q8NFA0,Eukaryota,Non-dark,52%,14%,0%,0%,1604,2390,12,11.96
Q8TEY7,Eukaryota,Non-dark,41%,20%,0%,0%,942,2327,20,7.88
Q70CQ2,Eukaryota,Non-dark,90%,14%,0%,0%,3546,2209,2,13.83
Q9P2H5,Eukaryota,Non-dark,59%,23%,0%,0%,1018,2234,0,14.51
Q9P275,Eukaryota,Non-dark,71%,59%,0%,0%,1121,2282,20,9.8
Q86T82,Eukaryota,Non-dark,38%,44%,0%,0%,979,1921,2,14.48
Q8NB14,Eukaryota,Non-dark,58%,10%,0%,0%,1042,2257,0,7.37
Q9Y6I4,Eukaryota,Non-dark,13%,4%,0%,0%,520,2516,90,1.21
Q9NVE5,Eukaryota,Non-dark,63%,8%,0%,0%,1235,2142,0,9.3
Q3LFD5,Eukaryota,Non-dark,18%,1%,0%,0%,358,2375,0,4.11
Q9H9J4,Eukaryota,Non-dark,70%,68%,33%,0%,1324,2263,0,8.63
Q70EL4,Eukaryota,Non-dark,69%,41%,0%,0%,1123,2146,0,10.11
Q9H0E7,Eukaryota,Non-dark,39%,6%,0%,0%,712,2488,10,2.96
Q70EL2,Eukaryota,Non-dark,41%,24%,0%,0%,814,2272,0,5.97
P62068,Eukaryota,Non-dark,15%,5%,0%,0%,366,2455,60,4.33
Q96K76,Eukaryota,Non-dark,42%,20%,0%,0%,1375,2354,110,11.4
Q86UV5,Eukaryota,Non-dark,60%,10%,0%,0%,1035,2314,48,6.65
Q70CQ1,Eukaryota,Non-dark,35%,22%,0%,0%,688,2497,10,4.93
Q13107,Eukaryota,Non-dark,38%,18%,0%,0%,963,2211,44,8.05
Q70EL3,Eukaryota,Non-dark,10%,0%,0%,0%,339,2320,0,3.43
Q70EK9,Eukaryota,Non-dark,34%,30%,7%,0%,711,2412,0,4.19
Q70EK8,Eukaryota,Non-dark,71%,44%,0%,0%,1073,1458,0,11.25
Q70EL1,Eukaryota,Non-dark,83%,65%,1%,0%,1684,1507,0,14.48
P45974,Eukaryota,Non-dark,0%,17%,0%,0%,858,2163,6,16.01
P35125,Eukaryota,Non-dark,42%,24%,0%,0%,1406,3091,8,10.03
Q93009,Eukaryota,Non-dark,5%,11%,1%,0%,1102,2329,110,10.32
P40818,Eukaryota,Non-dark,41%,43%,0%,0%,1118,2335,80,11.57
Q9UMX0,Eukaryota,Non-dark,73%,78%,0%,0%,589,556,38,9.65
Q9UHD9,Eukaryota,Non-dark,75%,71%,0%,0%,624,488,60,9.65
Q9H347,Eukaryota,Non-dark,78%,49%,0%,0%,655,539,4,9.22
Q9NRR5,Eukaryota,Non-dark,77%,67%,0%,0%,601,558,28,10.28
Q8IYU4,Eukaryota,Non-dark,82%,42%,1%,0%,475,272,4,7.54
Q8IWV7,Eukaryota,Non-dark,87%,6%,0%,0%,1749,297,8,11.76
Q8IWV8,Eukaryota,Non-dark,91%,6%,0%,0%,1755,302,8,12.81
Q6ZT12,Eukaryota,Non-dark,96%,10%,8%,3%,1888,289,0,10.43
Q5T4S7,Eukaryota,Dark,100%,13%,1%,1%,5183,197,16,39.81
O95071,Eukaryota,Non-dark,84%,34%,5%,0%,2799,1095,22,21.51
Q8N806,Eukaryota,Non-dark,83%,14%,0%,0%,425,127,0,5.98
P57075,Eukaryota,Non-dark,34%,1%,0%,0%,661,1005,38,11.27
Q8TF42,Eukaryota,Non-dark,27%,4%,0%,0%,649,1030,46,11.2
Q9HAC8,Eukaryota,Non-dark,12%,33%,0%,0%,227,470,0,5.09
Q8WUN7,Eukaryota,Non-dark,6%,33%,0%,0%,234,452,0,4.83
Q96LJ8,Eukaryota,Non-dark,68%,61%,0%,0%,280,11,0,5.69
Q5T124,Eukaryota,Non-dark,67%,38%,7%,0%,520,140,6,8.77
P68543,Eukaryota,Non-dark,26%,3%,0%,0%,259,134,0,2.85
Q14CS0,Eukaryota,Non-dark,42%,34%,0%,0%,331,135,2,2.72
Q04323,Eukaryota,Non-dark,53%,83%,0%,0%,297,166,26,4.79
Q92575,Eukaryota,Non-dark,58%,46%,0%,4%,508,152,34,8.88
Q9BZV1,Eukaryota,Non-dark,60%,23%,0%,0%,441,152,20,10.02
O94888,Eukaryota,Non-dark,38%,45%,1%,0%,489,215,46,5.33
O00124,Eukaryota,Non-dark,65%,30%,1%,16%,270,115,4,6.17
P09936,Eukaryota,Non-dark,0%,4%,0%,0%,223,194,54,4.16
P15374,Eukaryota,Non-dark,0%,11%,0%,0%,230,194,110,4.26
Q9Y5K5,Eukaryota,Non-dark,0%,11%,0%,0%,329,195,108,5.06
Q9HA47,Eukaryota,Non-dark,18%,22%,0%,0%,277,489,6,3.32
Q9BZX2,Eukaryota,Non-dark,0%,18%,0%,0%,261,549,72,4.72
Q9NWZ5,Eukaryota,Non-dark,23%,20%,0%,0%,548,565,60,6.93
Q8WVF2,Eukaryota,Dark,100%,47%,0%,0%,138,5,0,3.84
P55089,Eukaryota,Non-dark,68%,32%,0%,0%,124,23,40,0.72
Q96RP3,Eukaryota,Non-dark,66%,28%,0%,0%,112,5,46,0.62
Q969E3,Eukaryota,Non-dark,76%,41%,0%,0%,161,6,40,2.73
P25874,Eukaryota,Non-dark,5%,0%,0%,40%,307,1996,60,2.41
P55851,Eukaryota,Non-dark,4%,0%,0%,39%,309,1989,54,4.01
P55916,Eukaryota,Non-dark,4%,0%,0%,39%,312,1991,34,4.29
O95847,Eukaryota,Non-dark,8%,1%,1%,37%,323,1983,4,1.68
O95258,Eukaryota,Non-dark,3%,0%,0%,33%,325,1958,32,2.9
P0C7P4,Eukaryota,Non-dark,3%,1%,0%,0%,283,255,110,NA
P47985,Eukaryota,Non-dark,0%,3%,0%,14%,274,253,110,3.35
Q9HAW8,Eukaryota,Non-dark,21%,1%,0%,3%,530,1220,84,7.66
P22309,Eukaryota,Non-dark,25%,1%,0%,3%,533,1235,84,9.44
P35503,Eukaryota,Non-dark,27%,1%,0%,3%,534,1184,84,8.91
P22310,Eukaryota,Non-dark,26%,1%,0%,3%,534,1226,84,9.03
P35504,Eukaryota,Non-dark,26%,1%,0%,3%,534,1176,84,9.02
P19224,Eukaryota,Non-dark,20%,1%,0%,3%,532,1223,80,7.37
Q9HAW7,Eukaryota,Non-dark,21%,1%,0%,3%,530,1212,80,7.72
Q9HAW9,Eukaryota,Non-dark,20%,1%,0%,3%,530,1223,84,8.56
O60656,Eukaryota,Non-dark,21%,1%,0%,3%,530,1227,84,7.59
Q9Y4X1,Eukaryota,Non-dark,26%,1%,0%,3%,527,1244,68,9.15
Q6UWM9,Eukaryota,Non-dark,25%,0%,0%,4%,527,1189,56,8.83
P06133,Eukaryota,Non-dark,27%,0%,0%,3%,528,1215,74,10.1
P16662,Eukaryota,Non-dark,27%,0%,0%,3%,529,1215,78,9.8
